"No.","Time","Source","Destination","Protocol","Length","Info"
"182","42.011907","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x05ca AAAA 2.ubuntu.pool.ntp.org"
"183","42.097430","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"184","42.567066","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"185","43.006403","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x41b4 A clients2.google.com"
"186","43.016039","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"187","43.070431","192.168.159.151","192.168.159.152","DNS","89","Standard query 0x88eb A clients1.google.com.mydns.com"
"188","43.070838","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0x88eb No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com"
"189","43.125265","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"190","43.559879","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"191","44.003371","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x8a87 A clients2.google.com"
"192","44.148737","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"193","44.243306","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"194","44.566816","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"195","45.239972","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"196","46.240107","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"197","47.015623","192.168.159.151","192.168.159.152","DNS","81","Standard query 0xb664 A 2.ubuntu.pool.ntp.org"
"198","47.015757","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x05ca AAAA 2.ubuntu.pool.ntp.org"
"199","47.102775","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"200","47.405670","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"201","48.003707","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x8a87 Server failure A clients2.google.com"
"202","48.003763","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x41b4 Server failure A clients2.google.com"
"203","48.003915","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x8a87 A clients2.google.com"
"204","48.003998","192.168.159.151","192.168.159.152","DNS","89","Standard query 0x84ac A clients2.google.com.mydns.com"
"205","48.004280","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0x84ac No such name A clients2.google.com.mydns.com SOA ubuntu.mydns.com"
"206","48.065448","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x1c8c A clients1.google.com"
"207","48.065608","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x61cd Server failure A clients1.google.com"
"208","48.065638","192.168.159.151","192.168.159.152","ICMP","107","Destination unreachable (Port unreachable)"
"209","48.117015","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"210","48.403963","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"211","48.582176","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"212","49.141195","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"213","49.404149","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"214","49.559296","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"215","50.566506","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"216","51.589665","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"217","51.815006","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"218","52.018418","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0xb664 Server failure A 2.ubuntu.pool.ntp.org"
"219","52.018468","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0x05ca Server failure AAAA 2.ubuntu.pool.ntp.org"
"220","52.019766","192.168.159.151","192.168.159.152","DNS","91","Standard query 0xa163 A 2.ubuntu.pool.ntp.org.mydns.com"
"221","52.019928","192.168.159.151","192.168.159.152","DNS","91","Standard query 0x5507 AAAA 2.ubuntu.pool.ntp.org.mydns.com"
"222","52.020473","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0xa163 No such name A 2.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"223","52.020498","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0x5507 No such name AAAA 2.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"224","52.020744","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x2977 A 0.ubuntu.pool.ntp.org"
"225","52.020913","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x8fee AAAA 0.ubuntu.pool.ntp.org"
"226","52.108584","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"227","52.566304","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.178.2? Tell 192.168.178.1"
"228","52.815273","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
